word,start,end,confidence,speaker
 Don't,2.239999999999997,2.6,1.0,SPEAKER_00
 change,2.6,2.74,1.0,SPEAKER_00
 your,2.74,3.16,1.0,SPEAKER_00
 meter,3.16,3.38,1.0,SPEAKER_00
 we,3.38,3.58,1.0,SPEAKER_00
 are,3.58,3.6,1.0,SPEAKER_00
 going,3.6,3.7,1.0,SPEAKER_00
 to,3.7,3.72,1.0,SPEAKER_00
 knee,3.72,3.9,1.0,SPEAKER_00
-shake,3.9,4.06,1.0,SPEAKER_00
 the,4.06,4.24,1.0,SPEAKER_00
 game,4.24,4.48,1.0,SPEAKER_00
 Boy,10.799999999999997,11.16,1.0,SPEAKER_00
 I,11.16,11.4,1.0,SPEAKER_00
 haven't,11.4,11.54,1.0,SPEAKER_00
 been,11.54,11.7,1.0,SPEAKER_00
 here,11.7,11.88,1.0,SPEAKER_00
 in,11.88,12.02,1.0,SPEAKER_00
 a,12.02,12.04,1.0,SPEAKER_00
 long,12.04,12.16,1.0,SPEAKER_00
 time,12.16,12.48,1.0,SPEAKER_00
 Hey,21.919999999999995,22.279999999999998,1.0,SPEAKER_00
 mommy,22.279999999999998,22.64,1.0,SPEAKER_00
 I'm,22.64,23.04,1.0,SPEAKER_00
 here,23.04,23.28,1.0,SPEAKER_00
 How's,120.0,120.36,1.0,SPEAKER_01
 the,120.36,120.36,1.0,SPEAKER_01
 John,120.36,120.36,1.0,SPEAKER_01
 Laker,120.36,120.58,1.0,SPEAKER_01
 clean,120.58,120.82,1.0,SPEAKER_01
 cut,120.82,121.06,1.0,SPEAKER_01
 done,121.06,121.26,1.0,SPEAKER_01
 in,121.26,121.4,1.0,SPEAKER_01
 Cowboy?,121.4,121.68,1.0,SPEAKER_01
 We,122.08,122.34,1.0,SPEAKER_02
 gotta,122.34,122.52,1.0,SPEAKER_02
 talk.,122.52,122.84,1.0,SPEAKER_02
 We,124.12,124.52,1.0,SPEAKER_02
 can't,124.52,124.76,1.0,SPEAKER_01
 even,124.76,124.76,1.0,SPEAKER_01
 do,124.76,124.92,1.0,SPEAKER_01
 something,124.92,125.14,1.0,SPEAKER_01
 in,125.14,125.4,1.0,SPEAKER_01
" here,",125.4,125.54,1.0,SPEAKER_01
 come,125.58,125.7,1.0,SPEAKER_01
 on.,125.7,125.86,1.0,SPEAKER_01
 I,127.32,127.72,1.0,SPEAKER_00
 didn't,127.72,127.92,1.0,SPEAKER_00
 know,127.92,128.16,1.0,SPEAKER_00
 you,128.16,128.3,1.0,SPEAKER_00
 were,128.3,128.3,1.0,SPEAKER_00
 doing,128.3,128.6,1.0,SPEAKER_00
 this.,128.6,128.72,1.0,SPEAKER_00
 I,129.34,129.6,1.0,SPEAKER_00
 didn't,129.6,129.66,1.0,SPEAKER_00
 know,129.66,129.66,1.0,SPEAKER_00
 you,129.66,130.02,1.0,SPEAKER_00
 were,130.02,130.16,1.0,SPEAKER_00
 doing,130.16,130.3,1.0,SPEAKER_00
 this.,130.3,130.5,1.0,SPEAKER_00
 I'll,130.5,130.54,1.0,SPEAKER_00
 give,130.54,130.68,1.0,SPEAKER_00
 you,130.68,130.84,1.0,SPEAKER_00
 a,130.84,131.02,1.0,SPEAKER_00
 minute.,131.02,131.16,1.0,SPEAKER_00
 So,133.36,133.76,1.0,SPEAKER_01
 how's,133.76,134.1,1.0,SPEAKER_01
 the,134.1,134.18,1.0,SPEAKER_01
 rule,134.18,134.24,1.0,SPEAKER_01
 of,134.24,134.38,1.0,SPEAKER_01
 service,134.38,134.58,1.0,SPEAKER_01
" science,",134.58,135.02,1.0,SPEAKER_01
 huh?,135.24,135.3,1.0,SPEAKER_01
 Go,135.66,135.86,1.0,SPEAKER_01
" ahead,",135.86,135.98,1.0,SPEAKER_01
 man.,136.1,136.18,1.0,SPEAKER_01
 Come,136.38,136.52,1.0,SPEAKER_01
" on,",136.52,136.64,1.0,SPEAKER_01
 make,136.66,136.74,1.0,SPEAKER_01
 yourselves,136.74,137.0,1.0,SPEAKER_01
 at,137.0,137.22,1.0,SPEAKER_01
 home.,137.22,137.36,1.0,SPEAKER_01
 Be,137.64,137.76,1.0,SPEAKER_01
 right,137.76,137.92,1.0,SPEAKER_01
 back.,137.92,138.08,1.0,SPEAKER_01
 The,144.16,144.56,1.0,SPEAKER_00
 best,144.56,144.96,1.0,SPEAKER_00
 programmer,144.96,145.38,1.0,SPEAKER_00
 income,145.38,145.76,1.0,SPEAKER_00
 ever,145.76,146.1,1.0,SPEAKER_00
 saw,146.1,146.36,1.0,SPEAKER_00
 and,146.36,146.48,1.0,SPEAKER_00
 he,146.48,146.58,1.0,SPEAKER_00
 winds,146.58,146.94,1.0,SPEAKER_00
 up,146.94,147.14,1.0,SPEAKER_00
 playing,147.14,147.38,1.0,SPEAKER_00
 Space,147.38,148.0,1.0,SPEAKER_00
 Cowboy,148.0,148.9,1.0,SPEAKER_00
 in,148.9,149.14,1.0,SPEAKER_01
 some,149.14,149.34,1.0,SPEAKER_01
 back,149.34,149.72,1.0,SPEAKER_01
 rule.,149.72,150.0,1.0,SPEAKER_01
" Okay,",150.60000000000002,151.08,1.0,SPEAKER_02
 let,151.12,151.22,1.0,SPEAKER_01
 me,151.22,151.34,1.0,SPEAKER_01
 handle,151.34,151.62,1.0,SPEAKER_01
 this.,151.62,151.94,1.0,SPEAKER_01
 Go,152.62,152.88,1.0,SPEAKER_01
 right,152.88,153.06,1.0,SPEAKER_01
 ahead.,153.06,153.36,1.0,SPEAKER_01
 Have,156.0,156.48,1.0,SPEAKER_00
 you,156.48,156.58,1.0,SPEAKER_00
 been,156.58,156.74,1.0,SPEAKER_00
 sneaking,156.74,156.98,1.0,SPEAKER_00
 into,156.98,157.26,1.0,SPEAKER_00
 the,157.26,157.38,1.0,SPEAKER_00
 income,157.38,157.56,1.0,SPEAKER_00
 system?,157.56,158.04,1.0,SPEAKER_00
 Yeah.,159.7,159.86,1.0,SPEAKER_02
 Not,160.34,160.6,1.0,SPEAKER_02
 really,160.6,160.72,1.0,SPEAKER_02
 much,160.72,161.08,1.0,SPEAKER_02
 for,161.08,161.28,1.0,SPEAKER_02
 small,161.28,161.56,1.0,SPEAKER_02
" talk,",161.56,161.84,1.0,SPEAKER_02
 will,162.04,162.12,1.0,SPEAKER_02
 you?,162.12,162.22,1.0,SPEAKER_02
 Do,164.54000000000002,165.02,1.0,SPEAKER_02
 you,165.02,165.5,1.0,SPEAKER_02
 still,165.5,165.66,1.0,SPEAKER_02
 leave,165.66,165.8,1.0,SPEAKER_02
 her,165.8,165.88,1.0,SPEAKER_02
 clothes,165.88,166.16,1.0,SPEAKER_02
 all,166.16,166.38,1.0,SPEAKER_02
 over,166.38,166.54,1.0,SPEAKER_02
 the,166.54,166.66,1.0,SPEAKER_02
 floor?,166.66,166.88,1.0,SPEAKER_02
 Lynn.,167.06,167.22,1.0,SPEAKER_02
 No.,167.5,167.78,1.0,SPEAKER_02
 Alan.,168.22,168.6,1.0,SPEAKER_00
 I,169.12,169.6,1.0,SPEAKER_00
" mean,",169.6,169.74,1.0,SPEAKER_00
 not,169.8,169.94,1.0,SPEAKER_00
 that,169.94,170.08,1.0,SPEAKER_00
 often.,170.08,170.4,1.0,SPEAKER_00
 Now,171.14,171.5,1.0,SPEAKER_01
 you,171.5,171.6,1.0,SPEAKER_01
 can,171.6,171.74,1.0,SPEAKER_01
 see,171.74,171.92,1.0,SPEAKER_01
 what,171.92,172.04,1.0,SPEAKER_01
 all,172.04,172.2,1.0,SPEAKER_01
 of,172.2,172.3,1.0,SPEAKER_01
 his,172.3,172.42,1.0,SPEAKER_01
 friends,172.42,172.72,1.0,SPEAKER_01
 are,172.72,172.9,1.0,SPEAKER_01
 14,172.9,173.26,1.0,SPEAKER_01
 years,173.26,173.6,1.0,SPEAKER_01
 old.,173.6,173.96,1.0,SPEAKER_01
 Appreciate,174.12,174.36,1.0,SPEAKER_01
 it.,174.36,174.64,1.0,SPEAKER_01
 I,184.84,185.24,1.0,SPEAKER_01
 have,185.24,185.46,1.0,SPEAKER_01
 been,185.46,185.62,1.0,SPEAKER_01
 doing,185.62,185.78,1.0,SPEAKER_01
 a,185.78,185.94,1.0,SPEAKER_01
 little,185.94,186.08,1.0,SPEAKER_01
 hacking,186.08,186.42,1.0,SPEAKER_01
" here,",186.42,186.82,1.0,SPEAKER_01
 as,186.9,186.96,1.0,SPEAKER_01
 a,186.96,187.04,1.0,SPEAKER_01
 matter,187.04,187.16,1.0,SPEAKER_01
 of,187.16,187.3,1.0,SPEAKER_01
 fact.,187.3,187.58,1.0,SPEAKER_01
 You,187.82,187.94,1.0,SPEAKER_01
 did,187.94,188.22,1.0,SPEAKER_01
 break,188.22,188.56,1.0,SPEAKER_01
 in.,188.56,188.86,1.0,SPEAKER_01
 Try,189.36,189.68,1.0,SPEAKER_01
 to.,189.68,189.98,1.0,SPEAKER_01
 Can't,190.8,191.2,1.0,SPEAKER_01
 seem,191.2,191.34,1.0,SPEAKER_02
 to,191.34,191.56,1.0,SPEAKER_02
 quite,191.56,191.84,1.0,SPEAKER_02
 get,191.84,192.04,1.0,SPEAKER_02
 the,192.04,192.22,1.0,SPEAKER_02
 connection,192.22,192.6,1.0,SPEAKER_02
